id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
288,Sertraline,normal,39.28078357781685,961.0842968933514,0.052189,-0.031491,-0.013412,75.579,96.566,NA,6.472,23.431,45.848,7.9368
289,Sertraline,normal,33.797228365342974,896.7341851001187,0.060724,-0.03028,-0.013267,72.673,95.524,NA,7.971,26.366,50.677,9.1155
290,Sertraline,normal,21.411265326731712,801.1093496365751,0.096225,-0.024951,-0.012344,59.882,88.878,0.594,15.764,41.699,75.98,13.4532
291,Sertraline,normal,23.469024327363016,903.211950602082,0.08781,-0.024513,-0.012246,58.832,88.172,0.917,16.524,43.198,78.463,12.1893
292,Sertraline,normal,29.476287426615325,1221.051229420001,0.069954,-0.023379,-0.011976,56.111,86.224,1.806,18.603,47.316,85.273,9.5213
293,Sertraline,normal,54.89235866515595,1306.9667447912395,0.037331,-0.03189,-0.013455,76.536,96.875,NA,5.986,22.495,44.311,5.7006
294,Sertraline,normal,37.79892951695668,566.7416739183396,0.053794,-0.037646,-0.013834,90.349,99.607,NA,NA,9.735,23.475,8.6515
295,Sertraline,normal,22.35508521523952,1495.843390885007,0.09197,-0.016557,-0.009804,39.736,70.589,9.364,36.495,82.875,144.187,10.5734
296,Sertraline,normal,45.90519200467582,1343.2634256871113,0.044763,-0.028781,-0.013056,69.075,94.003,NA,9.942,30.227,57.036,6.6032
297,Sertraline,normal,45.16649668143274,1248.9698474473796,0.045463,-0.029651,-0.013183,71.163,94.917,NA,8.784,27.949,53.29,6.7762
298,Sertraline,normal,32.772989521393086,1097.2890548645412,0.062797,-0.026684,-0.012698,64.041,91.426,NA,12.964,36.173,66.852,9.0117
299,Sertraline,normal,29.78363884466295,2608.30257757893,0.068064,-0.013331,-0.008429,31.995,60.69,15.428,50.935,111.638,191.882,6.886
300,Sertraline,normal,61.381254225581785,2366.556261194139,0.033574,-0.024485,-0.01224,58.764,88.126,0.938,16.573,43.297,78.625,4.6585
301,Sertraline,normal,24.529871551152567,1687.1369644730228,0.083747,-0.016205,-0.009665,38.892,69.59,9.912,37.8,85.474,148.496,9.5135
302,Sertraline,normal,30.40592694491024,1079.1476170035194,0.067726,-0.025773,-0.012519,61.855,90.135,0.004,14.398,38.996,71.52,9.5908
303,Sertraline,normal,35.92537372573794,668.7725746654141,0.056821,-0.035233,-0.013726,84.559,98.828,NA,2.13,15.031,32.09,8.9529
304,Sertraline,normal,23.286536000085015,1120.804755250574,0.088606,-0.021123,-0.011363,50.694,81.812,3.813,23.329,56.691,100.793,11.5291
305,Sertraline,normal,23.80727744166611,1116.4109515609423,0.086663,-0.021508,-0.011475,51.619,82.617,3.445,22.459,54.961,97.93,11.3703
306,Sertraline,normal,32.748867598645035,2047.4712177705871,0.062882,-0.017446,-0.010142,41.87,73.024,8.07,33.422,76.757,134.043,7.4377
307,Sertraline,normal,61.3789788299989,1388.5657923708602,0.033361,-0.032626,-0.013528,78.302,97.4,NA,5.117,20.799,41.53,5.1318
308,Sertraline,normal,13.415831804717527,1629.6805395221356,0.144804,-0.010064,-0.006793,24.153,48.911,25.365,74.618,158.818,270.123,12.1486
309,Sertraline,normal,25.11776243290765,1268.8136422680188,0.082146,-0.020416,-0.01115,48.998,80.28,4.523,25.002,60.017,106.305,10.5193
310,Sertraline,normal,49.90446645744375,1187.1983658756997,0.041062,-0.031903,-0.013456,76.566,96.884,NA,5.972,22.466,44.263,6.2711
311,Sertraline,normal,50.16993579607393,936.3369677360848,0.04069,-0.035201,-0.013724,84.483,98.815,NA,2.166,15.102,32.205,6.4095
312,Sertraline,normal,23.547007896892584,1508.98410447228,0.08741,-0.017119,-0.01002,41.085,72.143,8.532,34.516,78.934,137.655,10.2344
313,Sertraline,normal,41.76315515648705,1725.145577632954,0.049372,-0.023423,-0.011986,56.215,86.301,1.771,18.521,47.151,85,6.7253
314,Sertraline,normal,38.504469987844175,1965.9827920833948,0.053586,-0.020261,-0.011102,48.626,79.934,4.684,25.387,60.777,107.563,6.8371
315,Sertraline,normal,19.492629294128445,1994.9492131354505,0.10234,-0.011686,-0.007637,28.047,54.985,19.756,61.253,132.192,225.968,9.5106
316,Sertraline,normal,41.35984863831344,983.5136549783396,0.049545,-0.031909,-0.013457,76.581,96.889,NA,5.965,22.452,44.239,7.5671
317,Sertraline,normal,53.996812193712294,2316.7384805234647,0.038195,-0.022844,-0.011839,54.826,85.242,2.251,19.648,49.388,88.701,5.1473
318,Sertraline,normal,22.278781796445433,676.5087796041612,0.092275,-0.028207,-0.012965,67.697,93.351,NA,10.737,31.785,59.61,13.5149
319,Sertraline,normal,26.55767341563614,1751.6106124226376,0.077447,-0.016743,-0.009876,40.183,71.109,9.081,35.824,81.542,141.974,8.9588
320,Sertraline,normal,69.37398682792177,1819.116588228934,0.029578,-0.030458,-0.01329,73.1,95.687,NA,7.748,25.922,49.948,4.4489
321,Sertraline,normal,52.21687918679927,1192.4349830911058,0.03922,-0.032492,-0.013515,77.981,97.309,NA,5.276,21.102,42.026,6.0252
322,Sertraline,normal,43.53339421723362,1676.038720590828,0.047339,-0.024507,-0.012245,58.817,88.163,0.921,16.534,43.219,78.497,6.5707
323,Sertraline,normal,33.773671432574496,1461.032494741759,0.061069,-0.022719,-0.011807,54.526,85.007,2.358,19.897,49.882,89.522,8.2103
324,Sertraline,normal,28.420016473571348,1448.079650155723,0.072601,-0.020291,-0.011111,48.698,80.001,4.653,25.312,60.63,107.318,9.2697
325,Sertraline,normal,44.25980253237386,1477.1825267996303,0.046498,-0.026733,-0.012707,64.16,91.493,NA,12.889,36.022,66.607,6.6773
326,Sertraline,normal,34.04016828680716,1247.6076549617733,0.060514,-0.025272,-0.012414,60.652,89.379,0.361,15.222,40.627,74.209,8.5037
327,Sertraline,normal,29.915843454679603,1670.6962649948334,0.068941,-0.018986,-0.010688,45.567,76.954,6.101,28.746,67.457,118.628,8.5201
328,Sertraline,normal,41.31053375704437,1846.72044123481,0.049935,-0.022223,-0.011674,53.335,84.053,2.79,20.915,51.901,92.862,6.6487
329,Sertraline,normal,52.69463553366712,1503.430860687109,0.038983,-0.029171,-0.013114,70.011,94.424,NA,9.419,29.194,55.338,5.7778
330,Sertraline,normal,14.114188003996157,1020.4933055744632,0.145284,-0.015579,-0.009412,37.389,67.764,10.947,40.264,90.381,156.631,16.1391
331,Sertraline,normal,14.204260026275538,812.5836302333247,0.145166,-0.018651,-0.010574,44.763,76.131,6.505,29.7,69.353,121.771,17.7797
332,Sertraline,normal,28.657037298528703,1395.396721659641,0.072001,-0.020952,-0.011312,50.285,81.449,3.979,23.724,57.476,102.091,9.3333
333,Sertraline,normal,42.2912886543662,1328.0552442286637,0.048629,-0.027684,-0.012878,66.443,92.723,NA,11.482,33.247,62.018,7.0744
334,Sertraline,normal,26.007914766003054,1310.634522874706,0.079335,-0.020451,-0.011161,49.081,80.357,4.487,24.918,59.849,106.023,10.1675
335,Sertraline,normal,65.05932329116503,1128.94207449726,0.031338,-0.036078,-0.013772,86.588,99.156,NA,1.17,13.198,29.096,4.9739
336,Sertraline,normal,38.401637412265195,1733.363313091893,0.05372,-0.022078,-0.011634,52.987,83.767,2.919,21.222,52.51,93.867,7.1318
337,Sertraline,normal,23.436690326792004,1008.3081636082848,0.088001,-0.022802,-0.011828,54.726,85.164,2.287,19.731,49.552,88.971,11.85
