id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
6100,Venlafaxine_XR,rapid,132.37708169233323,474.76363202693017,0.045378,-0.038517,-0.013867,92.441,99.842,NA,0.251,9.088,20.522,7.3314
6101,Venlafaxine_XR,normal,185.21710181705143,603.7807449369988,0.105237,-0.024689,-0.012449,59.255,89.632,2.514,16.818,41.133,73.269,14.7247
6102,Venlafaxine_XR,normal,61.997820729612386,470.2342534389264,0.112207,-0.025777,-0.0127,61.865,91.439,1.836,15.233,37.59,67.012,15.9734
6103,Venlafaxine_XR,normal,78.58356982452132,257.8765851269025,0.044015,-0.040554,-0.013887,97.331,99.984,NA,NA,2.947,11.602,7.2527
6104,Venlafaxine_XR,normal,139.6983022448538,570.3925450596116,0.087854,-0.028223,-0.013094,67.736,94.275,0.376,11.819,31.083,56.517,12.8982
6105,Venlafaxine_XR,poor,47.344389885793895,357.0513725764035,0.083459,-0.033633,-0.013669,80.719,98.415,NA,5.424,18.978,36.643,12.9511
6106,Venlafaxine_XR,poor,25.906425500806264,1106.1477921575854,0.076735,-0.02056,-0.011595,49.344,83.485,6.656,24.564,54.289,93.422,10.0456
6107,Venlafaxine_XR,rapid,96.93734183689764,331.42103936772304,0.036847,-0.040965,-0.013888,98.315,99.996,NA,NA,2.017,9.597,6.0937
6108,Venlafaxine_XR,normal,48.107262048420885,574.6227868553965,0.063787,-0.034834,-0.013808,83.602,99.417,NA,5.694,17.359,31.525,9.9924
6109,Venlafaxine_XR,normal,61.19712672523677,404.09037080574143,0.058515,-0.037799,-0.013859,90.718,99.784,NA,1.521,11.02,23.036,9.3919
6110,Venlafaxine_XR,normal,56.95968535114388,442.1532437751508,0.075354,-0.033729,-0.013701,80.95,98.646,NA,5.876,18.982,35.781,11.7005
6111,Venlafaxine_XR,normal,93.39479610148148,312.2286839818746,0.07914,-0.032148,-0.013501,77.156,97.204,NA,6.104,21.939,42.878,12.1153
6112,Venlafaxine_XR,rapid,90.35205008057784,437.005462656103,0.043633,-0.039764,-0.013884,95.434,99.961,NA,NA,6.531,16.029,7.12
6113,Venlafaxine_XR,normal,51.86464809759812,239.39980530432828,0.047944,-0.041102,-0.013889,98.645,99.998,NA,NA,1.446,8.693,7.9418
6114,Venlafaxine_XR,normal,64.17402620809338,744.289826565846,0.045287,-0.037081,-0.01386,88.995,99.793,NA,3.501,13.287,25.216,7.2138
6115,Venlafaxine_XR,normal,142.5684172007729,858.884689204467,0.025602,-0.041033,-0.013889,98.479,99.999,NA,NA,3.653,10.675,4.2239
6116,Venlafaxine_XR,rapid,135.47463577272137,281.0804676029481,0.050979,-0.037649,-0.01384,90.358,99.648,NA,0.054,10.177,23.472,8.1919
6117,Venlafaxine_XR,normal,58.51340643917063,759.715353760716,0.057425,-0.033946,-0.013786,81.469,99.257,NA,6.969,19.095,33.734,8.9298
6118,Venlafaxine_XR,rapid,119.19603585983232,459.6563696540059,0.041575,-0.039574,-0.013881,94.978,99.945,NA,NA,6.747,16.639,6.7762
6119,Venlafaxine_XR,normal,59.35662313479498,749.2558796265432,0.072376,-0.030584,-0.013596,73.402,97.895,0.663,10.497,25.262,43.194,10.9468
6120,Venlafaxine_XR,normal,193.4951514386962,342.9654451533321,0.039088,-0.039466,-0.013878,94.719,99.922,NA,NA,6.261,16.733,6.374
6121,Venlafaxine_XR,rapid,165.9974183022727,541.9500905728465,0.057219,-0.035026,-0.013749,84.063,98.994,NA,4.041,16.172,32.098,8.9839
6122,Venlafaxine_XR,poor,15.648586254180856,647.0624299520236,0.149204,-0.017783,-0.011066,42.679,79.677,9.9,30.751,62.828,102.675,18.7228
6123,Venlafaxine_XR,normal,108.36574253842456,619.4954212186105,0.039941,-0.039533,-0.013884,94.88,99.963,NA,0.155,7.837,17.306,6.4941
6124,Venlafaxine_XR,normal,92.67677040422956,308.3161670880963,0.090362,-0.029847,-0.01323,71.632,95.256,NA,8.794,27.392,51.985,13.5013
