id,drug,cyp2d6,CL_sampled,Vd_sampled,Css,dCdt_rel_24h,dCdt_rel_72h,pct_drop_24h,pct_drop_72h,t_75pct,t_50pct,t_25pct,t_10pct,AUC_deficit_7d
1537,Fluoxetine,normal,2.8269185463664583,3587.2911603799093,0.171689,-7.44e-4,-6.2e-4,1.785,4.463,437.908,980.294,NA,NA,1.488
1538,Fluoxetine,normal,1.3887231443585362,2727.06165408841,0.241238,-5.33e-4,-4.49e-4,1.278,3.23,618.45,1425.149,NA,NA,1.5113
1539,Fluoxetine,normal,17.26672485779663,2553.122962107044,0.132109,-0.002142,-0.001667,5.14,12.002,173.288,427.543,859.497,1429.735,2.977
1540,Fluoxetine,normal,6.746389692658543,1842.632766092147,0.143424,-0.002958,-0.002283,7.098,16.441,119.807,291.597,567.602,913.447,4.4041
1541,Fluoxetine,normal,3.916079430214511,716.7205591362169,0.201501,-0.005325,-0.003871,12.781,27.873,62.091,166.028,348.899,599.461,10.1114
1542,Fluoxetine,normal,2.859062670300976,2983.5520319314014,0.197024,-8.48e-4,-6.99e-4,2.035,5.034,394.425,876.042,NA,NA,1.9191
1543,Fluoxetine,rapid,50.87939638980654,908.7242972634303,0.155602,-0.003038,-0.001654,7.29,11.907,246.942,689.266,NA,NA,3.2794
1544,Fluoxetine,normal,15.017559541388842,3144.7605499331166,0.141303,-0.001531,-0.001234,3.675,8.883,227.984,525.946,1009.872,NA,2.4036
1545,Fluoxetine,rapid,16.473700994623098,2017.3120547450387,0.10063,-0.003806,-0.002846,9.133,20.493,93.088,240.94,496.496,835.937,3.7803
1546,Fluoxetine,poor,2.8164710309207095,5061.143732277197,0.164889,-1.08e-4,-1.19e-4,0.258,0.857,1099.024,NA,NA,NA,0.2943
1547,Fluoxetine,poor,3.1993136277425904,3234.0441589102197,0.195455,-6.97e-4,-5.82e-4,1.673,4.19,456.713,983.985,NA,NA,1.5926
1548,Fluoxetine,rapid,35.068296489011075,931.6638625695427,0.066945,-0.009063,-0.005151,21.751,37.088,32.043,133.475,327.194,583.81,4.251
1549,Fluoxetine,poor,4.544785924365313,3169.2417791432044,0.14869,-0.001403,-0.001136,3.367,8.179,246.148,560.05,1061.163,NA,2.3359
1550,Fluoxetine,normal,7.228018325900716,2143.4591098620917,0.218221,-0.001189,-9.38e-4,2.852,6.755,339.069,870.382,NA,NA,2.7819
1551,Fluoxetine,normal,6.264697927550669,2416.8759016754184,0.215852,-0.001012,-8.14e-4,2.428,5.859,370.014,885.228,NA,NA,2.4123
1552,Fluoxetine,normal,22.396485531144197,914.8185702088394,0.173024,-0.003566,-0.002111,8.559,15.201,195.72,662.482,NA,NA,4.4898
1553,Fluoxetine,normal,4.0749775996017625,3827.4106235011823,0.129602,-0.00123,-0.001003,2.953,7.219,283.206,667.353,1318.655,NA,1.7979
1554,Fluoxetine,rapid,13.749237630033566,3645.6057914860903,0.086156,-0.002584,-0.002073,6.202,14.924,129.307,293.944,542.662,843.653,2.45
1555,Fluoxetine,normal,17.211556401267583,3266.8154891280437,0.109968,-0.002139,-0.001713,5.134,12.332,160.361,369.271,699.488,1119.76,2.5852
1556,Fluoxetine,normal,3.525481279940564,1955.440031095276,0.198326,-0.001848,-0.001464,4.435,10.543,194.264,455.834,872.557,1399.295,3.9692
1557,Fluoxetine,poor,4.0436785469875955,2434.135593329695,0.156914,-0.001893,-0.001506,4.543,10.844,187.538,442.963,864.687,1416.993,3.2333
1558,Fluoxetine,normal,3.708431625943324,3787.822513676839,0.152762,-9.14e-4,-7.56e-4,2.194,5.443,360.747,805.791,NA,NA,1.6124
1559,Fluoxetine,normal,11.651003614123844,1566.3147605052943,0.145315,-0.003217,-0.002373,7.72,17.082,119.603,332.346,732.338,1274.018,4.523
1560,Fluoxetine,normal,11.054516083206408,1427.5881854479114,0.087137,-0.006199,-0.004485,14.878,32.294,50.631,134.619,274.86,456.228,5.041
1561,Fluoxetine,rapid,16.35930305415293,2468.687193320473,0.101301,-0.003137,-0.002418,7.529,17.41,112.046,274.683,542.175,888.889,3.2867
1562,Fluoxetine,poor,1.8841485369060664,2363.267437549214,0.258231,-7.19e-4,-5.94e-4,1.725,4.277,471.116,1052.635,NA,NA,2.1338
1563,Fluoxetine,poor,1.10715450524738,1754.183863514411,0.337256,-7.47e-4,-6.14e-4,1.794,4.42,476.932,1125.237,NA,NA,2.8667
1564,Fluoxetine,normal,5.518952127178715,2985.794541422664,0.18152,-0.001061,-8.66e-4,2.546,6.237,320.653,709.279,1296.76,NA,2.1839
1565,Fluoxetine,rapid,3.0421409979761607,1447.1207302589476,0.243285,-0.002072,-0.001623,4.973,11.685,176.342,423.125,820.025,1317.483,5.3606
1566,Fluoxetine,normal,3.922572793001752,2610.0370641304075,0.201672,-0.001103,-8.96e-4,2.647,6.448,315.21,706.376,1302.68,NA,2.5004
1567,Fluoxetine,normal,24.142864308144695,1822.2600691946325,0.129036,-0.002959,-0.002123,7.103,15.286,142.789,404.229,863.518,NA,3.5677
1568,Fluoxetine,normal,19.18351467862423,2367.658879617979,0.127005,-0.002424,-0.001856,5.817,13.363,156.145,397.024,812.881,1363.492,3.1585
1569,Fluoxetine,normal,9.005739906591062,1216.4686813591622,0.15211,-0.004005,-0.002901,9.612,20.89,92.169,262.751,603.596,1083.214,5.728
1570,Fluoxetine,normal,10.564073225086169,1457.396055660213,0.113403,-0.004652,-0.003409,11.164,24.545,73.798,196.628,414.72,710.848,5.0408
1571,Fluoxetine,normal,3.567567530236322,1368.535480837356,0.185916,-0.003078,-0.002375,7.387,17.098,114.442,280.304,553.322,907.506,5.9279
1572,Fluoxetine,normal,5.872191675146244,838.7605263646856,0.158542,-0.005689,-0.00406,13.653,29.234,57.794,160.293,353.271,635.441,8.2663
1573,Fluoxetine,normal,4.816503648711573,3655.9390772718098,0.148549,-0.001096,-9e-4,2.631,6.483,302.978,668.386,1234.63,NA,1.8644
1574,Fluoxetine,rapid,13.148938320700807,10696.583334818124,0.13224,3.76e-4,2.4e-4,-0.902,-1.729,1263.583,NA,NA,NA,-0.3886
1575,Fluoxetine,normal,5.439607965212905,1995.1090440186888,0.245139,-0.00107,-8.48e-4,2.569,6.106,382.342,1000.46,NA,NA,2.827
1576,Fluoxetine,normal,6.13992147510365,2486.7562449787542,0.174317,-0.001568,-0.001252,3.764,9.015,227.948,526.549,992.574,NA,2.9962
1577,Fluoxetine,rapid,3.6854315942583096,3326.282071369902,0.191238,-6.94e-4,-5.81e-4,1.666,4.18,453.495,968.788,NA,NA,1.5562
1578,Fluoxetine,normal,6.883767859554343,892.2564364432479,0.17359,-0.00475,-0.003368,11.399,24.247,75.213,223.1,548.305,1034.446,7.4946
1579,Fluoxetine,rapid,14.879340027151189,977.7361549971891,0.084877,-0.008431,-0.005486,20.234,39.502,34.106,109.102,265.969,494.832,5.7616
1580,Fluoxetine,normal,10.16275816014336,1320.590033435209,0.102785,-0.005652,-0.004085,13.564,29.409,57.589,154.783,324.135,551.763,5.4242
1581,Fluoxetine,rapid,8.103559780938694,2076.7928904654796,0.144555,-0.00254,-0.001973,6.096,14.207,141.819,343.977,672.551,1090.95,3.8515
1582,Fluoxetine,normal,15.561926909446395,2267.3111267259865,0.180807,-0.001447,-0.001114,3.472,8.021,294.989,775.102,NA,NA,2.704
1583,Fluoxetine,normal,7.616774661490906,2038.164481961932,0.16555,-0.002156,-0.00168,5.175,12.093,171.274,418.932,831.558,1368.2,3.7617
1584,Fluoxetine,normal,9.755137974944066,5770.097441576607,0.09896,-0.001139,-9.58e-4,2.734,6.898,268.056,569.6,1024.709,NA,1.3397
1585,Fluoxetine,normal,5.381067979489007,1804.7122626306789,0.180317,-0.002293,-0.001787,5.504,12.869,158.717,383.718,748.164,1208.426,4.3623
1586,Fluoxetine,normal,6.495735703314425,1606.2331425237185,0.124251,-0.003984,-0.003031,9.561,21.821,85.398,211.411,413.574,666.858,5.0077
1587,Fluoxetine,normal,2.4105272544623735,978.6345861979228,0.307881,-0.002476,-0.001911,5.942,13.759,148.82,369.119,738.255,1215.834,7.9161
1588,Fluoxetine,normal,6.857713794194865,1105.45964305269,0.148051,-0.00468,-0.00342,11.231,24.626,73.48,197.468,423.12,738.618,6.5914
1589,Fluoxetine,normal,5.386113987814781,2874.4175187512287,0.123104,-0.002122,-0.001688,5.092,12.152,165.166,390.623,763.657,1253.071,2.8389
1590,Fluoxetine,normal,6.09135665681827,2332.4439760519385,0.165365,-0.001874,-0.001485,4.499,10.692,191.011,445.907,844.665,1336.464,3.3569
1591,Fluoxetine,normal,4.122848225757201,1096.879848690292,0.204931,-0.003447,-0.002609,8.274,18.783,103.348,262.264,531.747,884.985,7.1038
1592,Fluoxetine,poor,1.923671045541273,2640.793993568696,0.2212,-8.11e-4,-6.68e-4,1.947,4.808,427.123,993.028,NA,NA,2.0512
1593,Fluoxetine,normal,7.630829423369977,3205.3149762647517,0.144476,-0.001488,-0.001204,3.571,8.669,229.96,513.617,942.55,NA,2.4078
