Drug,n (valid),"Css, ng/mL","t50% C0, h","t25% C0, h","|Rel. dC/dt| @24h, h⁻¹","AUC deficit 7d, mg/L·h",Stress rank
Venlafaxine XR (SNRI),7417,72.5 [59.7–91.2],7.2 [4–11.9],21.5 [15.8–30],0.0324 [0.0285–0.0354],11.09 [9.32–13.46],1 (highest)
Venlafaxine IR (SNRI),9901,65 [50–84.4],10.3 [6.6–15.4],22.8 [16.1–32.2],0.0319 [0.027–0.0359],9.84 [7.8–12.29],2
"Paroxetine (SSRI, IR)",7918,27.4 [19.4–40.7],16.4 [7.9–32.2],43 [26.6–73.3],0.0245 [0.0179–0.0301],3.71 [2.82–4.83],3
"Sertraline (SSRI, IR)",9373,61.1 [47.9–78.4],17.1 [9.7–28.5],44.4 [29.8–67.1],0.0242 [0.0191–0.0289],8.17 [6.76–9.91],4
"Fluoxetine +NFX (SSRI, IR)",9710,137.8 [104.9–178.6],349.4 [235.6–532.9],648.9 [458.6–900.8],0.0026 [0.0016–0.0039],3.59 [2.71–4.7],5 (lowest)
